ID	_Class	_Lv	_ADD_MHP	_ADD_MSP	_ADD_ATK	_ADD_DEF	_ADD_ELE	_ADD_LUK	_ADD_ATK_MIN_DAM	_ADD_ATK_MAX_DAM	_ADD_ELE_MIN_DAM	_ADD_ELE_MAX_DAM	_ADD_Speed_X	_ADD_Speed_Y	_ADD_Rope_Speed_X	_ADD_Rope_Speed_Y	_ADD_WATER	_ADD_WIND	_ADD_FIRE	_ADD_EARTH	_ADD_DAMAGE_ABSOLUTE	_ADD_REDUCE_DAMAGE_ABSOLUTE	_ADD_DEF_PENETRATION	_ADD_ELE_PENETRATION	_ADD_JUMP_ATK	_ADD_NORMAL	_ADD_HEAVY	_BASE_CRITICAL_DAMAGE	_BASE_ELE_CRITICAL_DAMAGE	_CLASS_RECV_HP_FACTOR	_CLASS_RECV_SP_FACTOR	_ADD_PHY_HIT_RATE	_ADD_ELE_HIT_RATE	_ADD_PHY_DODGE_RATE	_ADD_ELE_DODGE_RATE	_ADD_BACK_DAM	_ADD_ELE_BACK_DAM	_ADD_ATK_ADD_FACTOR	_ADD_ATK_RATIO_FACTOR	_ADD_ELE_ADD_FACTOR	_ADD_ELE_RATIO_FACTOR	_ADD_AMOR	_ADD_ELE_DAMAGE_ABSOLUTE	_ADD_ELE_REDUCE_DAMAGE_ABSOLUTE	_ADD_WATER_MIN_DAM	_ADD_WATER_MAX_DAM	_ADD_WIND_MIN_DAM	_ADD_WIND_MAX_DAM	_ADD_FIRE_MIN_DAM	_ADD_FIRE_MAX_DAM	_ADD_EARTH_MIN_DAM	_ADD_EARTH_MAX_DAM	_ADD_RES_WATER	_ADD_RES_WIND	_ADD_RES_FIRE	_ADD_RES_EARTH	_RATIO_CRITICAL_DAM	_RATIO_ELE_CRITICAL_DAM
0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
																																																										
1	1	1	23649	10000	0	0	0	209	150	150	150	150	140	0	0	0	199	199	199	199	1000	0	100	100	199	957	957	115	115	3	2	200	200	10	10	20	20	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	597	597	597	597	70	70
2	1	2	23544	10000	0	0	0	209	150	150	150	150	140	0	0	0	198	198	198	198	1000	0	100	100	198	948	948	115	115	3	2	200	200	10	10	20	20	0	0	0	0	0	0	198	0	0	0	0	0	0	0	0	594	594	594	594	70	70
3	1	3	23442	10000	0	0	0	209	150	150	150	150	140	0	0	0	197	197	197	197	1000	0	100	100	197	939	939	115	115	3	2	200	200	10	10	20	20	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	591	591	591	591	70	70
4	1	4	23340	10000	0	0	0	209	150	150	150	150	140	0	0	0	196	196	196	196	1000	0	100	100	196	930	930	115	115	3	2	200	200	10	10	20	20	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	588	588	588	588	70	70
5	1	5	23238	10000	0	0	0	209	150	150	150	150	140	0	0	0	195	195	195	195	1000	0	100	100	195	921	921	115	115	3	2	200	200	10	10	20	20	0	0	0	0	0	0	195	0	0	0	0	0	0	0	0	585	585	585	585	70	70
6	1	6	23136	10000	0	0	0	209	150	150	150	150	140	0	0	0	194	194	194	194	1000	0	100	100	194	912	912	115	115	3	2	200	200	10	10	20	20	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	582	582	582	582	70	70
7	1	7	23034	10000	0	0	0	209	150	150	150	150	140	0	0	0	193	193	193	193	1000	0	100	100	193	903	903	115	115	3	2	200	200	10	10	20	20	0	0	0	0	0	0	193	0	0	0	0	0	0	0	0	579	579	579	579	70	70
8	1	8	22932	10000	0	0	0	209	150	150	150	150	140	0	0	0	192	192	192	192	1000	0	100	100	192	894	894	115	115	3	2	200	200	10	10	20	20	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	576	576	576	576	70	70
9	1	9	22833	10000	0	0	0	209	150	150	150	150	140	0	0	0	191	191	191	191	1000	0	100	100	191	885	885	115	115	3	2	200	200	10	10	20	20	0	0	0	0	0	0	191	0	0	0	0	0	0	0	0	573	573	573	573	70	70
10	1	10	22734	10000	0	0	0	209	150	150	150	150	140	0	0	0	190	190	190	190	1000	0	100	100	190	876	876	111	111	3	2	200	200	10	10	20	20	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	570	570	570	570	70	70
11	1	11	22635	10000	0	0	0	209	150	150	150	150	140	0	0	0	189	189	189	189	1000	0	100	100	189	867	867	111	111	3	2	200	200	10	10	20	20	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	567	567	567	567	70	70
12	1	12	22536	10000	0	0	0	209	150	150	150	150	140	0	0	0	188	188	188	188	1000	0	100	100	188	858	858	111	111	3	2	200	200	10	10	20	20	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	564	564	564	564	70	70
13	1	13	22437	10000	0	0	0	209	150	150	150	150	140	0	0	0	187	187	187	187	1000	0	100	100	187	849	849	111	111	3	2	200	200	10	10	20	20	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	561	561	561	561	70	70
14	1	14	22338	10000	0	0	0	209	150	150	150	150	140	0	0	0	186	186	186	186	1000	0	100	100	186	840	840	111	111	3	2	200	200	10	10	20	20	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	558	558	558	558	70	70
15	1	15	22239	10000	0	0	0	209	150	150	150	150	140	0	0	0	185	185	185	185	1000	0	100	100	185	831	831	111	111	3	2	200	200	10	10	20	20	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	555	555	555	555	70	70
16	1	16	22143	10000	0	0	0	209	150	150	150	150	140	0	0	0	184	184	184	184	1000	0	100	100	184	822	822	111	111	3	2	200	200	10	10	20	20	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	552	552	552	552	70	70
17	1	17	22047	10000	0	0	0	209	150	150	150	150	140	0	0	0	183	183	183	183	1000	0	100	100	183	813	813	111	111	3	2	200	200	10	10	20	20	0	0	0	0	0	0	183	0	0	0	0	0	0	0	0	549	549	549	549	70	70
18	1	18	21951	10000	0	0	0	209	150	150	150	150	140	0	0	0	182	182	182	182	1000	0	100	100	182	804	804	111	111	3	2	200	200	10	10	20	20	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	546	546	546	546	70	70
19	1	19	21855	10000	0	0	0	209	150	150	150	150	140	0	0	0	181	181	181	181	1000	0	100	100	181	795	795	111	111	3	2	200	200	10	10	20	20	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	543	543	543	543	70	70
20	1	20	21759	10000	0	0	0	209	150	150	150	150	140	0	0	0	180	180	180	180	1000	0	100	100	180	786	786	107	107	3	2	200	200	8	8	20	20	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	540	540	540	540	70	70
21	1	21	21663	10000	0	0	0	209	150	150	150	150	140	0	0	0	179	179	179	179	1000	0	100	100	179	777	777	107	107	3	2	200	200	8	8	20	20	0	0	0	0	0	0	179	0	0	0	0	0	0	0	0	537	537	537	537	70	70
22	1	22	21567	10000	0	0	0	209	150	150	150	150	140	0	0	0	178	178	178	178	1000	0	100	100	178	768	768	107	107	3	2	200	200	8	8	20	20	0	0	0	0	0	0	178	0	0	0	0	0	0	0	0	534	534	534	534	70	70
23	1	23	21474	10000	0	0	0	209	150	150	150	150	140	0	0	0	177	177	177	177	1000	0	100	100	177	759	759	107	107	3	2	200	200	8	8	20	20	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	531	531	531	531	70	70
24	1	24	21381	10000	0	0	0	209	150	150	150	150	140	0	0	0	176	176	176	176	1000	0	100	100	176	750	750	107	107	3	2	200	200	8	8	20	20	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	528	528	528	528	70	70
25	1	25	21288	10000	0	0	0	209	150	150	150	150	140	0	0	0	175	175	175	175	1000	0	100	100	175	741	741	107	107	3	2	200	200	8	8	20	20	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	525	525	525	525	70	70
26	1	26	21195	10000	0	0	0	209	150	150	150	150	140	0	0	0	174	174	174	174	1000	0	100	100	174	732	732	107	107	3	2	200	200	8	8	20	20	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	522	522	522	522	70	70
27	1	27	21102	10000	0	0	0	209	150	150	150	150	140	0	0	0	173	173	173	173	1000	0	100	100	173	723	723	107	107	3	2	200	200	8	8	20	20	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	519	519	519	519	70	70
28	1	28	21009	10000	0	0	0	209	150	150	150	150	140	0	0	0	172	172	172	172	1000	0	100	100	172	714	714	107	107	3	2	200	200	8	8	20	20	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	516	516	516	516	70	70
29	1	29	20916	10000	0	0	0	209	150	150	150	150	140	0	0	0	171	171	171	171	1000	0	100	100	171	705	705	107	107	3	2	200	200	8	8	20	20	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	513	513	513	513	70	70
30	1	30	20823	10000	0	0	0	209	150	150	150	150	140	0	0	0	170	170	170	170	1000	0	100	100	170	696	696	103	103	3	2	200	200	8	8	20	20	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	510	510	510	510	70	70
31	1	31	20733	10000	0	0	0	209	150	150	150	150	140	0	0	0	169	169	169	169	1000	0	100	100	169	687	687	103	103	3	2	200	200	8	8	20	20	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	507	507	507	507	70	70
32	1	32	20643	10000	0	0	0	209	150	150	150	150	140	0	0	0	168	168	168	168	1000	0	100	100	168	678	678	103	103	3	2	200	200	8	8	20	20	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	504	504	504	504	70	70
33	1	33	20553	10000	0	0	0	209	150	150	150	150	140	0	0	0	167	167	167	167	1000	0	100	100	167	669	669	103	103	3	2	200	200	8	8	20	20	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	501	501	501	501	70	70
34	1	34	20463	10000	0	0	0	209	150	150	150	150	140	0	0	0	166	166	166	166	1000	0	100	100	166	660	660	103	103	3	2	200	200	8	8	20	20	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	498	498	498	498	70	70
35	1	35	20373	10000	0	0	0	209	150	150	150	150	140	0	0	0	165	165	165	165	1000	0	100	100	165	651	651	103	103	3	2	200	200	8	8	20	20	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	495	495	495	495	70	70
36	1	36	20283	10000	0	0	0	209	150	150	150	150	140	0	0	0	164	164	164	164	1000	0	100	100	164	642	642	103	103	3	2	200	200	8	8	20	20	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	492	492	492	492	70	70
37	1	37	20193	10000	0	0	0	209	150	150	150	150	140	0	0	0	163	163	163	163	1000	0	100	100	163	633	633	103	103	3	2	200	200	8	8	20	20	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	489	489	489	489	70	70
38	1	38	20106	10000	0	0	0	209	150	150	150	150	140	0	0	0	162	162	162	162	1000	0	100	100	162	624	624	103	103	3	2	200	200	8	8	20	20	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	486	486	486	486	70	70
39	1	39	20019	10000	0	0	0	209	150	150	150	150	140	0	0	0	161	161	161	161	1000	0	100	100	161	615	615	103	103	3	2	200	200	8	8	20	20	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	483	483	483	483	70	70
40	1	40	19932	10000	0	0	0	209	150	150	150	150	140	0	0	0	160	160	160	160	1000	0	100	100	160	606	606	99	99	3	2	200	200	5	5	20	20	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	480	480	480	480	70	70
41	1	41	19845	10000	0	0	0	209	150	150	150	150	140	0	0	0	159	159	159	159	1000	0	100	100	159	597	597	99	99	3	2	200	200	5	5	20	20	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	477	477	477	477	70	70
42	1	42	19758	10000	0	0	0	209	150	150	150	150	140	0	0	0	158	158	158	158	1000	0	100	100	158	588	588	99	99	3	2	200	200	5	5	20	20	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	474	474	474	474	70	70
43	1	43	19671	10000	0	0	0	209	150	150	150	150	140	0	0	0	157	157	157	157	1000	0	100	100	157	579	579	99	99	3	2	200	200	5	5	20	20	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	471	471	471	471	70	70
44	1	44	19584	10000	0	0	0	209	150	150	150	150	140	0	0	0	156	156	156	156	1000	0	100	100	156	570	570	99	99	3	2	200	200	5	5	20	20	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	468	468	468	468	70	70
45	1	45	19497	10000	0	0	0	209	150	150	150	150	140	0	0	0	155	155	155	155	1000	0	100	100	155	561	561	99	99	3	2	200	200	5	5	20	20	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	465	465	465	465	70	70
46	1	46	19413	10000	0	0	0	209	150	150	150	150	140	0	0	0	154	154	154	154	1000	0	100	100	154	552	552	99	99	3	2	200	200	5	5	20	20	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	462	462	462	462	70	70
47	1	47	19329	10000	0	0	0	209	150	150	150	150	140	0	0	0	153	153	153	153	1000	0	100	100	153	543	543	99	99	3	2	200	200	5	5	20	20	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	459	459	459	459	70	70
48	1	48	19245	10000	0	0	0	209	150	150	150	150	140	0	0	0	152	152	152	152	1000	0	100	100	152	534	534	99	99	3	2	200	200	5	5	20	20	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	456	456	456	456	70	70
49	1	49	19161	10000	0	0	0	209	150	150	150	150	140	0	0	0	151	151	151	151	1000	0	100	100	151	525	525	99	99	3	2	200	200	5	5	20	20	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	453	453	453	453	70	70
50	1	50	19077	10000	0	0	0	209	150	150	150	150	140	0	0	0	150	150	150	150	1000	0	100	100	150	516	516	95	95	3	2	200	200	5	5	20	20	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	450	450	450	450	70	70
51	1	51	18993	10000	0	0	0	209	150	150	150	150	140	0	0	0	149	149	149	149	1000	0	100	100	149	507	507	95	95	3	2	200	200	5	5	20	20	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	447	447	447	447	70	70
52	1	52	18909	10000	0	0	0	209	150	150	150	150	140	0	0	0	148	148	148	148	1000	0	100	100	148	498	498	95	95	3	2	200	200	5	5	20	20	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	444	444	444	444	70	70
53	1	53	18825	10000	0	0	0	209	150	150	150	150	140	0	0	0	147	147	147	147	1000	0	100	100	147	489	489	95	95	3	2	200	200	5	5	20	20	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	441	441	441	441	70	70
54	1	54	18744	10000	0	0	0	209	150	150	150	150	140	0	0	0	146	146	146	146	1000	0	100	100	146	480	480	95	95	3	2	200	200	5	5	20	20	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	438	438	438	438	70	70
55	1	55	18663	10000	0	0	0	209	150	150	150	150	140	0	0	0	145	145	145	145	1000	0	100	100	145	471	471	95	95	3	2	200	200	5	5	20	20	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	435	435	435	435	70	70
56	1	56	18582	10000	0	0	0	209	150	150	150	150	140	0	0	0	144	144	144	144	1000	0	100	100	144	462	462	95	95	3	2	200	200	5	5	20	20	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	432	432	432	432	70	70
57	1	57	18501	10000	0	0	0	209	150	150	150	150	140	0	0	0	143	143	143	143	1000	0	100	100	143	453	453	95	95	3	2	200	200	5	5	20	20	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	429	429	429	429	70	70
